country,sector,alias,blurb
Indonesia,Mining,IDN,"Indonesia's mining sector scores a satisfactory 68 of 100 in the 2017 Resource Governance Index (RGI), ranking 11th among 89 assessments.Indonesia's mining and oil and gas sectors perform well in revenue management, both scoring a satisfactory 76 of 100, whereas mining sector resource governance is weakened by problems in value realization and enabling environment. Low commodity prices, a slowdown in global demand and mineral depletion have put pressure on Indonesia's coal-dominated mining industry. This assessment focuses on copper; Indonesia has the world's eighth-largest copper reserves with 25 million metric tons and in 2016, it contributed four percent of global copper production. Copper constituted eight percent of its exports in 2016.
"
India,Oil and Gas,IND,"India's oil and gas sector scores 70 of 100 points and ranks 9th of 89 assessments in the 2017 Resource Governance Index (RGI). It has proven oil reserves of 549 million barrelsand gas reserves of 43 trillion cubic feetThe oil and gas sector contributes 12 percent of total exports,but growing domestic demand makes India a net oil importer. In 2015, India was the fourth largest consumer of oil after the United States, China and Japan.
"
Guinea,Mining,GIN,"Guinea's mining sector scores 38 of 100 points in the 2017 Resource Governance Index (RGI), ranking 63rd among 89 assessments and 20th among 31 assessments in sub-Saharan Africa. Failing revenue management contributes to its overall poor performance, with a score of 24of 100 and rank of 78th place. Guinea is a low-income country with a population of 13 million and gross domestic product per capita of USD 500. The country has the world's largest bauxite reservesand is the third-largest bauxite producer and exporter in the world. This assessment, therefore, focuses on bauxite because of its importance to Guinea's economy, although Guinea also produces gold and diamonds and has significant reserves of iron ore. Mining represented over 60 percent of Guinea's total exports and 24 percent of total government revenues in 2015.
"
Guatemala,Mining,GTM,"Guatemala's gold mining sector scores 41 of 100 points and ranks 56th among 89 assessments in the 2017 Resource Governance Index (RGI). Its overall score is lowered by poor revenue management, scoring 35 of 100 in that component. Guatemala is a middle-income country with 16 million inhabitants, it has just under 50000 ounces of gold reserves and the mining sector constitutes seven percent of the country's total exports.
"
Ghana,Oil and Gas,GHA,"Ghana's oil and gas sector scores a satisfactory 67 of 100 points in the 2017 Resource Governance Index (RGI), making it the best performer in sub-Saharan Africa. Ghana has a favorable enabling environment and also performs well in revenue management. Its sovereign wealth fund is the second-best governed among 34 funds assessed in the index. Furthermore, Ghana's Petroleum Revenue Management Act allocates oil revenues transparently between the budget, the national oil company and two funds. Yet, Ghana has accumulated a large budget deficit and borrowed heavily against future oil revenues, even though oil revenues presently constitute only four percent of total government revenues. Ghana's rules for managing petroleum revenues are disconnected from those governing broader public finances.
"
Ghana,Mining,GHA,"Ghana's mining sector scores 56 of 100 points and ranks 24th among 89 assessments in the 2017 Resource Governance Index (RGI). The sector performs better than most others in sub-Saharan Africa, mainly because of a satisfactory enabling environment, however, performance in revenue management is poor. This assessment focuses on gold mining; gold accounts for 14 percent of Ghana's mineral exports, however government revenues from mining have declined and been surpassed by income from oil and gas. The recent discovery of and focus on hydrocarbons has resulted in governance issues in the mining sector receiving less attention, leading to an 11-point performance gap between the two sectors.
"
Gabon,Oil and Gas,GAB,"Gabon's oil and gas sector scores 36 of 100 points and ranks 65th of 89 assessments in the 2017 Resource Governance Index (RGI). Its poor performance in the index is driven by a score of 18 in value realization (ranking 87th). Gabon has oil reserves amounting to two billion barrels and gas reserves containing up to one trillion cubic feet. The oil and gas sector contributes 83 percent to total exports, making the country extremely resource-dependent. Gabon is known for its corruption in the oil and gas sector.
"
Ethiopia,Mining,ETH,"Ethiopia's gold mining sector scores 40 of 100 points and ranks 57th among 89 assessments in the 2017 Resource Governance Index (RGI). This poor performance is primarily attributable to a poor enabling environment, which ranks63rd in the index. Ethiopia has succeeded in diversifying trade, with resource exports representing three percent of total exports.Mining is less integral to Ethiopia's economy than to those of neighboring countries; however, with gold reserves totalling just under two million ounces, the sector (which is currently dominated by artisanal mining) has the potential to become a catalyst for development in this low-income country.
"
Eritrea,Mining,ERI,"Eritrea's gold mining sector scores 10 of 100 points in the 2017 Resource Governance Index (RGI), ranking 89th and in last position overall. Eritrea's overall failing performance in the index is driven by its score of five of 100 points in the revenue management component, where the country ranks 88th in the index. Eritrea is a low-income country with a gross domestic product per capita of USD 540. It has gold reserves of two million ounces and gold mining currently constitutes only one percent of the country's total exports.
"
Equatorial Guinea,Oil and Gas,GNQ,"Equatorial Guinea's oil and gas sector scores 22 of 100 points in the 2017 Resource Governance Index (RGI), ranking 85th among 89 assessments. Its overall failing performance can be attributed to the enabling environment component, which scores 17 of 100 points and ranks 79th among 89 assessments, along with an equally low score for revenue management. Equatorial Guinea has the smallest population and the highest gross domestic product per capita among countries in sub-Saharan Africa. Oil and gas constitute over 90 percent of Equatorial Guinea's exports.
"
Egypt,Oil and Gas,EGY,"Egypt's oil and gas sector scores 39 of 100 points in the 2017 Resource Governance Index (RGI), ranking 60th among 89 assessments and ninth among 16 assessments in the Middle East and North Africa (MENA) region. Its overall score is lowered by the sector's poor score of 30 of 100 points in the revenue management component. Egypt's oil reserves stand at just under 4 billion barrels and its gas reserves amount to 77 trillion cubic feet.Crude oil constitutes 18 percent of Egypt's total exports.The country also plays a vital role in international energy markets through the operation of the Suez Canal and the Suez-Mediterranean Pipeline. Egypt is a middle-income country and home to the largest population in the MENA region, a considerable share of the oil and gas produced is used to meet domestic energy needs.
"
Ecuador,Oil and Gas,ECU,"Ecuador's oil and gas sector scores 54 of 100 points in the 2017 Resource Governance Index (RGI), ranking 32nd among 89 assessments in the index and 10th among 14 assessments in the Latin America and Caribbean region. Ecuador is a middle-income country with a gross domestic product per capita of just above USD 600 and oil reserves of just over 8 billion barrels. The oil and gas sector constitutes 38 percent of the country's total exports.
"
Democratic Republic of Congo,Oil and Gas,DRC,"The Democratic Republic of Congo's (DRC) oil and gas sector scores 25 of 100 points, ranking 84th among 89 assessments in the 2017 Resource Governance Index (RGI). This result is reinforced by a failing enabling environment and lack of transparency in revenue management. In contrast to a mature mining sector, the DRC's oil and gas resources remain largely undeveloped. The country has proven oil reserves of just 180 million barrels, with significant potential to expand in light of a 2014 reserve discovery estimated at three billion barrels. Despite advances in the exploration of the oil basins, production remains marginal at 2500 barrels per day. The country has recently adopted a new hydrocarbons code and regulations that bring some improvements in transparency to the oil and gas sector.
"
Democratic Republic of Congo,Mining,DRC,"The Democratic Republic of Congo&#39;s (DRC) mining sector scores a poor 33 of 100 for overall resource governance, ranking 75th among 89 assessments in the 2017 Resource Governance Index (RGI). Thesector has attracted significant investments since the adoption of a new mining code in 2002. According to the country's preliminary 2015 Extractive Industries Transparency Initiative (EITI) report, the DRC ranked fifth among the world's copper-producing countries and first in Africa (ahead of Zambia), with over one million tons of copper produced. Copper exports represented over 97 percent of the extractive sector's contribution to total exports in 2015. The DRC also produces gold, cobalt and diamonds. In 2014, the mining sector constituted 26 percent of government revenues. Despite the importance of the mining sector in the DRC, governance challenges persist particularly in revenue management and the enabling environment.
"
Cuba,Oil and Gas,CUB,"Cuba's oil and gas sector scores 36 of 100 points in the 2017 Resource Governance Index (RGI), ranking 66th among 89 assessments and 13th within the Latin America and Caribbean region. This poor overall score is the result of failing performance in the revenue management and value realization components. Cuba has reserves of oil of 124 million barrels and gas of three trillion cubic feet. Cuba's state-led economic model gives considerable importance to its oil and gas state-owned enterprise (SOE), Uni&oacute;n Cuba-Petroleo, which could improve in transparency in order to ensure accountability.
"
Côte d'Ivoire,Oil and Gas,CIV,"C&ocirc;te d&#39;Ivoire scores 55 of 100 points in the 2017 Resource Governance Index (RGI), ranking 28th among 89 assessments and sixth among 31 countries assessed in the sub-Saharan Africa region. The country's overall performance is boosted by satisfactory scores in the value realization and revenue management components. C&ocirc;te d&#39;Ivoire has gas reserves of one trillion cubic feet and the sector constitutes just under 14 percent of the country's total exports. Significant exploration for new oil discoveries of the Ivorian coast is underway. Efforts to improve resource governance could focus on improving transparency of the licensing process, as well as bridging the gap between rules and their enforcement.
"
Congo,Oil and Gas,COG,"Congo's oil and gas sector scores 39 of 100 points in the 2017 Resource Governance Index (RGI), ranking 58th among 89 assessments in the index and 19th among 31 countries assessed in the sub-Saharan Africa region. The overall score is driven by a failing score of 29 of 100 in the enabling environment component. Congo has proven gas reserves of three trillion cubic feet. The oil and gas sector constituted 62 percent of the country's exports in 2014. This, combined with its extractive sector rents constituting 23 percent of gross domestic product in 2015, makes the Congo one of the most resource-dependent Extractive Industries Transparency Initiative countries.
"
Colombia,Oil and Gas,COL,"Colombia's oil and gas sector performs satisfactorily in the 2017 Resource Governance Index (RGI) with an overall score of 71 of 100 points, ranking eighth in the overall index and third in Latin America and the Caribbean &mdash; behind regional neighbors Chile and Brazil. Colombia's oil and gas sector is a top performer in terms of revenue management. The country's hydrocarbon reserves are estimated at 2 billion barrels of oil and four trillion cubic feet of gas. Colombia is the fourth-largest oil producer in Latin America and the Caribbean and in 2015, over half of Colombia's exports consisted of hydrocarbons. According to the country's 2015 Extractive Industries Transparency Initiative (EITI) report, over three quarters of the Colombian government's earnings from extractives came from the hydrocarbons sector. The government is seeking investment for further exploration in the face of depleting reserves.
"
Colombia,Mining,COL,"Colombia's mining sector scores a satisfactory 69 of 100 points in the 2017 Resource Governance Index (RGI), ranking 10th among 89 country assessments. The sector has been the subject of debate between the national government, which advocates for attracting investment, and environmental and social movements, concerned with local impacts and benefits. Following a longstanding internal conflict, Colombia is taking the first steps in a peace process, and achieves a satisfactory score for enabling environment. As Colombia's coal industry is slowing due to decreases in global demand, other minerals are gaining in importance. Colombia produced 27800 ounces of gold in 2015, constituting three percent of the country's total exports; this assessment focuses on gold. Other minerals produced in Colombia but not covered by the index include iron ore and nickel.
"
China,Oil and Gas,CHN,"The oil and gas sector of China, the world's most populous country, scores 55 of out 100 in the 2017 Resource Governance Index (RGI). China is the world's fifth largest petroleum producerbut despite this it barely exports any.Instead, its domestic oil and gas demand make it the world's largest importer of petroleum (tied with the U.S).The state of governance in China is weak across the governance components. Its many national oil companies not only dominate domestic production but also operate throughout the world,. However, the governance of its largest energy sector state-owned enterprise (SOE), CNPC, is equally weak. Through its SOEs, China's resource governance impacts a much larger population than just the 1 billion Chinese.
"
Chile,Mining,CHL,"Chile's copper mining sector scores 81 of 100 points and ranks second among 89 assessments in the 2017 Resource Governance Index (RGI). Chile's good enabling environment, ranking sixth, is a main driver of its good performance in the index. Chile's state-owned mining company, Codelco, is the best performer out of 74 state-owned enterprises assessed in the index. With just over 200 million metric tons, Chile hosts the world's largest copper reserves,and mining constitutes 54 percent of its total exports.
"
Chad,Oil and Gas,TCD,"Chad's oil and gas sector scores 34 of 100 points in the 2017 Resource Governance Index (RGI), ranking 72nd among 89 assessments in the index and 24th among 31 assessements in the sub-Saharan Africa region. Its overall low score is the result of its failing enabling environment, scoring 19 of 100 points in this area. Chad is a low-income country with a population of 14 million people. It has suffered from decades of politial instability. The Chadian economy is heavily dependent on oil &ndash; it constituted 68 percent of total exports, 86 percent of government revenues and 30 percent of gross domestic product in 2014. Licensing procedures, local impact and sovereign wealth fund governance are the biggest oil sector-specfic governance challenges for this country.
"
Canada (Alberta),Oil and Gas,CAN,"The Canadian province of Alberta's oil and gas sector scores 75 of 100 points and ranks fourth among 89 assessments in the 2017 Resource Governance Index (RGI). This good performance is driven by Canada's enabling environment, which ranks second in the index. The country has proven oil reserves of just above 400 million barrels and gas reserves of 77 trillion cubic feet. With the oil and gas sector comprising 21 percent of its total exports, Canada has the least diversified economy of the countries in the Western Europe and North America region measured in the index.
"
Cameroon,Oil and Gas,CMR,"Cameroon's oil and gas sector achieves a weak score of 54 of 100 in the 2017 Resource Governance Index (RGI), ranking 30th among 89 assessments and seventh among 31 assessments within the sub-Saharan Africa region. This overall score is attributable to satisfactory revenue management, which is offset by a poor enabling environment. Cameroon is a mature oil producer, the oil and gas sector constituted just under half of the country's exports in 2015 and 27 percent of government revenues in 2014.
"
Cambodia,Mining,KHM,"Cambodia's gold mining sector scores 30 of 100 points in the 2017 Resource Governance Index (RGI), ranking 79th among 89 index assessments, 14th among 15 assessments in the Asia Pacific region and 30th among 34 mining sector assessments. Its overall poor score is driven by failing revenue management, ranking 85th for that component. Cambodia is in the very early stages of gold mining; only a handful of companies have been issued exploration and mining licenses. The government has not disclosed details of the country's gold reserves and the sector constitutes less than one percent of the country's total exports.
"
Burkina Faso,Mining,BFA,"Burkina Faso's mining sector scores 59 of 100 points in the 2017 Resource Governance Index (RGI), ranking 20th among 89 assessments and third in the sub-Saharan Africa region. Satisfactory performance in the value realization component contrasts with a weak score in the revenue management component, placing the sector on the cusp between weak and satisfactory performance. A low-income country with a population of 18 million, Burkina Faso is one of the world's top 20 gold producers; gold constituted 16 percent of government revenues in 2015. The mining sector constitutes over 65 percent of Burkina Faso's total exports. Burkina Faso has the potential to move in to overall satisfactory performance by addressing the weakest links in the resource sector decision chain.
"
Brazil,Oil and Gas,BRA,"Brazil's oil and gas sector scores 71 of 100 points in the 2017 Resource Governance Index (RGI), ranking sixth among 89 assessments. This overall satisfactory score is driven by good performance in the revenue management component, with a score of 78 of 100 points. Furthermore, the oil and gas sector performs particularly well in subnational resource revenue sharing, ranking first place, reflecting a high degree of transparency in revenue sharing. Oil and gas sector rents constituted less than one per cent of Brazil&#39;s gross domestic product in 2015, down from over three percent in 2012.The government expected rapid economic growth after developing the giant pre-salt oil resources that were discovered a decade ago. Instead, a combination of low oil prices and corruption scandals resulting in a political crisis has led to a slowdown in Brazil's economic growth since 2015.
"
Botswana,Mining,BWA,"Botswana's diamond mining sector scores 61 of 100 points and ranks 18th of 89 assessments in the 2017 Resource Governance Index. This performance is driven primarily by a strong enabling environment, where Botswana achieves a good score of 81 and ranks seventh in the index, and a satisfactory score of 61 on revenue management. The country's economy is heavily dependent on diamond mining; the sector contributes 83 percent to the country's exports.Though Botswana's diamond reserves are estimated at over 300 million carats, they are being depleted at a rate that puts the magnitude of future economic benefits from the sector in question.This makes the sustainable use of diamonds revenues crucial to Botswana's future. Unfortunately, the RGI reveals a few areas in which governance could be improved&mdash;Debswana, joint venture between the private company and the government which controls most diamond production, achieves only 29 of 100 due to failure to publicly report financial details necessary for analysts to oversee its relationship with the government.
"
Bolivia,Oil and Gas,BOL,"Bolivia's oil and gas sector scores 54 of 100 points and ranks 34th among 89 assessments in the 2017 Resource Governance Index (RGI). Half of Bolivia's exportsand 30 percent of government revenues2are derived from the oil and gas sector. Oil and gas extraction in Bolivia has varied between public and private ownership over the past decade; now that the government controls the entire value chain, the degree of transparency is limited. Bolivia performs satisfactorily in most areas of the extractive decision chain, but the licensing process by the state-owned enterprise (SOE) and information and fiscal rules on budgetary process pose a risk of lost value. 
"
Bangladesh,Oil and Gas,BGD,"Bangladesh's oil and gas sector scores 36 of 100 points in the 2017 Resource Governance Index (RGI), ranking 67th among 89 assessments and 12th among 15 assessments in the Asia Pacific region. The country depends on its oil and gas sector to meet most of its domestic energy demands; the sector constitutes just one percent of the country's total exports. Bangladesh remains a net energy importer to meet the growing demands of its population of 161 million. In 2015, the government passed the amended Speedy Supply of Power and Energy (Special Provision) Bill, aimed at boosting hydrocarbons development and electricty generation from the country's gas reserves, which stand at seven trillion cubic feet.
"
Bahrain,Oil and Gas,BHR,"Bahrain's oil and gas sector scores 39 of 100 points, ranking 59th among 89 assessments in the 2017 Resource Governance Index (RGI) and 35th among 55 oil and gas sectors assessed. The country's poor performance in the index is predominantly the result of failing scores in the value realization and revenue management components. Bahrain has the smallest population in the Middle East and North Africa (MENA) region with just under 1 million inhabitants. It has gas reserves of three trillion cubic feet and even though the government does not disclose official oil reserve figures, they are estimated at over 600 million barrels.The sector constitutes 50 percent of the country's exports.Past political instability has rendered the government unable to implement the structural economic reforms required to offset falling oil revenues; instead the government has resorted to borrowing.
"
Azerbaijan,Oil and Gas,AZE,"Azerbaijan, a middle-income country with a population of 10 million, scores 47 of 100 points in the 2017 Resource Governance Index (RGI), ranking 47th among 89 assessments and fifth among nine assessments in the Eurasia region. Azerbaijan achieves weak scores in the value realization and enabling environment components, and its performance is lowered further by a poor score in the revenue management component. Oil constituted nearly 90 percentof Azerbaijan's total exports in 2015 and the country depends on oil for more than half of its budget revenues, making it one of the most resource-dependent economies in the Eurasia region. The economy is not well diversified beyond hydrocarbons. Currency devaluations in recent years highlight a need for better management of extractive revenues. Azerbaijan has made some progress in transparency, but this is under threat following the government's decision to withdraw from the Extractive Industries Transparency Initiative (EITI) in early 2017. Civic space in the country remains restricted.
"
Australia (Western),Mining,AUS,"Western Australia's iron ore mining sector scores 71 of 100 points and ranks eighth of 89 assessments in the 2017 Resource Governance Index (RGI). This satisfactory score places Australia at first position in Asia Pacific and eighth in the overall index. Australia has a good enabling environment, ranking third on this component. However, Western Australia's licensing, taxation and budgeting performance is weak or poor. The world's largest producer of iron ore, Australia's mineral reserves total 21 bilion metric tons and its mining sector contributes 31 percent to total exports.
"
Argentina,Oil and Gas,ARG,"Argentina's oil and gas sector scores 57 of 100 points, ranking 22nd among 89 assessments in the 2017 Resource Governance Index (RGI) and ninth in the Latin America region. Its scores in all components of resource governance place it in the middle category of the index. Argentina has almost 2 billion barrels of proven oil reserves and eleven trillion cubic feet of gas reserves.In 2015, the oil and gas sector constituted just under three percent of the country's total exports. The discovery of shale gas creates new potential for Argentina's hydrocarbons sector. Argentina passed a new hydrocarbons law in 2014 aiming to attract investment, following years of policy uncertainty under export restrictions and nationalization of the largest operator in the sector.
"
Angola,Oil and Gas,AGO,"Angola's oil and gas sector scores 35 of 100 points and ranks 70th of 89 assessments in the 2017 Resource Governance Index (RGI). Its poor performance in the RGI is driven by enabling environment where Angola ranks 72nd with a failing score of 25. Angola has major oil reserves of just over 900 million barrelsand gas reserves of 11 trillion cubic feet.The oil and gas sector makes up 95 percentof the country's exports, and Angola is one of the most resource-dependent countries in sub-Saharan Africa. It also has the least diversified economy in the region.Distribution of economic gains from oil and gas wealth for its 25 million people is currently hindered by corruption and a failing enabling environment.
"
Algeria,Oil and Gas,DZA,"Algeria's oil and gas sector scores 33 of 100 points and ranks 73rd of 89 assessments in the 2017 Resource Governance Index (RGI). The poor performance of Algeria's oil and gas sector is mainly driven down by a score of 25 in revenue management. The country has oil reserves of 1200 million barrelsand gas reserves of 160 trillion cubic feet, with 94 percent of exports coming from the oil and gas sector.Algeria is one of the world's poorest countries measured by the multidimenisonal poverty index. In the last decade, the sector has failed to attract significant new investment from international oil companies and to maintain an adequate reserve replacement ratio through the development of new oil and gas fields.
"
Afghanistan,Mining,AFG,"Afghanistan's iron ore mining sector scores 34 of 100 points and ranks 71st of 89 assessments in the 2017 Resource Governance Index (RGI). It ranks seventh among nine countries assessed in the Eurasian region, outperforming Turkmenistan and Uzbekistan. Its poor performance is driven by failing enabling environment. The country's iron ore reserves total 111 million metric tons, but the development of the largest untapped iron ore deposit in Eurasia, the Hajigak Iron Ore project, has been delayed. Mining is reported to have represented just one percent of total exports in 2015, but significant underrepporting of some minerals, and a predominantly domestic market for others, make exact figures difficult to obtain.
"
