questionID,label,score,explaination,weight
147,f,NA,Not applicable/Other.,1
16,a,100,"Yes, the government has publicly disclosed all the signed licences/contracts.",1
16,b,50,The government has publicly disclosed some but not all of the signed licences/contracts.,1
16,c,20,"No, the government disclosed none of the signed licences/contracts from 215, but did prior to 215.",1
16,d,0,"No, the government disclosed none of the signed licences/contracts.",1
16,e,NA,Not applicable/Other.,1
168,a,100,"Yes, the legislature has reviewed the fund's annual financial reports, with no known exceptions.",1
168,b,20,"No, the legislature failed to review the fund's annual financial reports from 215, but did prior to 215.",1
168,c,0,"No, the legislature failed to review the fund's annual financial reports in one or more cases.",1
168,d,0,The legislature is not required to review the fund's annual financial reports.,1
168,e,NA,Not applicable/Other.,1
156,a,100,"Yes, the fund has only invested in allowed asset classes or investment types, with no known exceptions.",1
156,b,20,"No, the fund has invested in prohibited asset classes or investment types from 215, but did adhere to rules prior to 215.",1
156,c,0,"No, the fund has invested in prohibited asset classes or investment types, in one or more cases.",1
156,d,NA,Not applicable/Other.,1
68,a,100,"Yes, both EIAs and SIAs have been publicly disclosed, with no known exceptions.",1
68,b,50,"Yes, either EIAs or SIAs have been publicly disclosed, with no known exceptions.",1
68,c,20,"No, at least one known EIA or SIA has not been publicly disclosed from 215, but has prior to 215.",1
68,d,0,"No, neither EIAs nor SIAs have been publicly disclosed.",1
68,e,NA,Not applicable/Other.,1
71,a,100,"Yes, environmental mitigation management plans have been publicly disclosed, with no known exceptions.",1
71,b,50,"No, at least one known environmental mitigation management plans has not been publicly disclosed from 215, but they have prior to 215.",1
71,c,0,"No, at least one known environmental mitigation management plan has not been publicly disclosed.",1
71,d,NA,Not applicable/Other.,1
21,a,100,"Yes, senior public officials have publicly disclosed their financial holdings in extractive companies, with no known exceptions.",1
21,b,20,"No, one or more senior public officials failed to publicly disclose their financial holdings in extractive companies from 215, but did publicly disclose their financial holdings prior to 215.",1
21,c,0,"No, one or more senior public officials failed to publicly disclose their financial holdings in extractive companies.",1
21,d,NA,Not applicable/Other.,1
23,a,100,"Yes, all beneficial owners of extractive companies have been disclosed, in all known cases.",1
23,b,50,The beneficial owners of extractive companies have been disclosed in some but not all known cases.,1
23,c,20,"No, the beneficial owners in extractive companies have not been disclosed from 215, but were disclosed prior to 215.",1
23,d,0,"No, the beneficial owners in extractive companies have not been disclosed, in any known cases.",1
23,e,NA,Not applicable/Other.,1
78,a,100,"Yes, these procedures governing rehabilitation and closure of extractive projects have been adhered to, with no known exceptions.",1
78,b,20,"No, these procedures governing rehabilitation and closure of extractive projects have not been adhered to from 215, but have been adhered to prior to 215.",1
78,c,0,"No, these procedures governing rehabilitation and closure of extractive projects have not been adhered to, in one or more cases.",1
78,d,0,"No, there are no procedures governing rehabilitation and closure of extractive projects.",1
78,e,NA,Not applicable/Other.,1
149,a,100,"Yes, withdrawals/spending from the sovereign wealth fund actually passed through the normal budgetary process, with no known exceptions.",1
149,b,20,"No, withdrawals/spending from the sovereign wealth fund failed to pass through the normal budgetary process from 215, but did prior to 215.",1
149,c,0,"No, withdrawals/spending from the sovereign wealth fund failed to pass through the normal budgetary process in one or more cases.",1
149,d,NA,Not applicable/Other.,1
122,a,100,"Yes, the government has publicly disclosed a national budget that has been enacted for the current fiscal year.",1
122,b,0,"No, the government has not publicly disclosed a national budget that has been enacted for the current fiscal year.",1
122,c,NA,Not applicable/Other.,1
17,a,100,"Yes, the government has publicly disclosed all active licences/contracts.",1
17,b,50,The government has publicly disclosed some but not all active licences/contracts.,1
17,c,0,"No, the government has not disclosed any active licenses/contracts.",1
17,d,NA,Not applicable/Other.,1
87,a,100,"Yes, the SOE's most recent publicly available annual report on its finances and operations covers a fiscal year ending in 2015 or 2016.",1
87,b,80,"Yes, but the SOE's most recent publicly available annual report on its finances and operations covers a fiscal year ending in 2012, 2013 or 2014.",1
87,c,20,"Yes, but the SOE's most recent publicly available annual report on its finances and operations covers a fiscal year ending in 2011 or earlier.",1
87,d,0,"No, the SOE does not publicly disclose reports on its finances and operations.",1
87,e,NA,Not applicable/Other.,1
101,a,100,"Yes, the SOE publicly disclosed the amount spent on each non-operational activity.",1
101,b,50,"Yes, the SOE publicly disclosed the aggregate amount spent on non-operational activities.",1
101,c,0,"No, the SOE did not publicly disclose the amount spent on non-operational activities.",1
101,d,NA,The SOE has not engaged in non-operational activities from 215 onwards.,1
101,e,NA,Not applicable/Other.,1
60,a,100,The most recent publicly available data covers a fiscal year ending in 2015 or 2016.,1
60,b,80,"The most recent publicly available data covers a fiscal year ending in 2012, 2013 or 2014.",1
60,c,20,The most recent publicly available data covers a fiscal year ending in 2011 or earlier.,1
60,d,0,The government does not publicly disclose data on the value of tax/payment receipts.,1
60,e,NA,Not applicable/Other.,1
19,a,100,The data contained in the country's most recent EITI report covers 2015 or 2016.,1
19,b,70,"The data contained in the country's most recent EITI report covers 2012, 2013 or 2014.",1
19,c,40,The data contained in the country's most recent EITI report covers 2011 or earlier years.,1
19,d,40,The country has not published an EITI report.,1
19,e,NA,The country has no EITI affiliation.,1
136,a,100,The most recent publicly available information covers a fiscal year ending in 2015 or 2016.,0.777
136,b,80,"The most recent publicly available information covers a fiscal year ending in 2012, 2013 or 2014.",0.777
136,c,20,The most recent publicly available information covers a fiscal year ending in 2011 or earlier.,0.777
136,d,0,The government does not publicly disclose this information.,0.777
136,e,NA,Not applicable/Other.,0.777
3,a,100,The most recent publicly available data covers 2015 or 2016.,1
3,b,80,"The most recent publicly available data covers 2012, 2013 or 2014.",1
3,c,20,The most recent publicly available data covers 2011 or earlier years.,1
3,d,0,The government does not publicly disclose this data.,1
3,e,NA,Not applicable/Other.,1
9,a,100,The most recent publicly available data covers 2015 or 2016.,1
9,b,80,"The most recent publicly available data covers 2012, 2013 or 2014.",1
9,c,20,The most recent publicly available data covers 2011 or earlier years.,1
9,d,0,The government does not publicly disclose this data.,1
9,e,NA,Not applicable/Other.,1
6,a,100,The most recent publicly available data covers 2015 or 2016.,1
6,b,80,"The most recent publicly available data covers 2012, 2013 or 2014.",1
6,c,20,The most recent publicly available data covers 2011 or earlier years.,1
6,d,0,The government does not publicly disclose this data.,1
6,e,NA,Not applicable/Other.,1
134,a,100,"Yes, this formula specifies the amount of revenue received by each subnational government, either by amount or share.",0.777
134,b,0,"No, this formula does not specify the amount of revenue received by each subnational government, either by amount or share.",0.777
134,c,NA,Not applicable/Other.,0.777
18,a,100,"Yes, the country is EITI compliant and has yielded satisfactory progress according to the 2016 EITI Standard.",1
18,b,70,"Yes, the country is EITI compliant.",1
18,c,50,"No, the country is an EITI candidate.",1
18,d,40,"No, the country was formerly EITI-compliant, but has been suspended.",1
18,e,30,"No, the country has no EITI affiliation (i.e. it has never applied for EITI candidacy or its application was rejected).",1
14,a,100,"Yes, the data is available under an open license which imposes no restrictions on use, redistribution or modification, including for commercial purposes.",1
14,b,50,"No, the data is available under a license which imposes restrictions in some of these areas.",1
14,c,0,The data has unknown licensing status.,1
14,d,0,No such portal exists.,1
14,e,NA,Not applicable/Other.,1
13,a,100,The data is available via an API that is accompanied by a landing page and associated documentation.,1
13,b,90,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",1
13,c,80,The data is available in a proprietary machine-readable format (e.g. Access or XLS).,1
13,d,20,The data is available in a text-based format (e.g. PDF or Word).,1
13,e,0,No such portal exists.,1
13,f,NA,Not applicable/Other.,1
4,a,100,The data is available via an API that is accompanied by a landing page and associated documentation.,1
4,b,90,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",1
4,c,80,The data is available in a proprietary machine-readable format (e.g. Access or XLS).,1
4,d,50,The data is available in a text-based format (e.g. PDF or Word).,1
4,e,0,The government does not publicly disclose data on extractive resource reserves in digital format.,1
4,f,0,The government does not publicly disclose this data.,1
4,g,NA,Not applicable/Other.,1
10,a,100,The data is available via an API that is accompanied by a landing page and associated documentation.,1
10,b,90,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",1
10,c,80,The data is available in a proprietary machine-readable format (e.g. Access or XLS).,1
10,d,50,The data is available in a text-based format (e.g. PDF or Word).,1
10,e,0,The government does not publicly disclose it in digital format.,1
10,f,0,The government does not publicly disclose data on the value of extractive resource exports.,1
10,g,NA,Not applicable/Other.,1
7,a,100,The data is available via an API that is accompanied by a landing page and associated documentation.,1
7,b,90,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",1
7,c,80,The data is available in a proprietary machine-readable format (e.g. Access or XLS).,1
7,d,50,The data is available in a text-based format (e.g. PDF or Word).,1
7,e,0,The government  does not publicly disclose the data in digital format.,1
7,f,0,The government does not publicly disclose data on volume of extractive resource production.,1
7,g,NA,Not applicable/Other.,1
62,a,100,"Yes, the law requires the government to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs.",1
62,b,50,"Yes, a publicly documented policy requires the government to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs.",1
62,c,0,"No, the government is not required to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs.",1
62,d,NA,Not applicable/Other.,1
15,a,100,"Yes, the law requires the government to publicly disclose all signed licences/contracts with extractive companies.",1
15,b,50,"Yes, a publicly documented policy requires the government to publicly disclose all signed licences/contracts with extractive companies.",1
15,c,0,"No, the government is not required to publicly disclose all signed licenses/contracts with extractive companies.",1
15,d,NA,Not applicable/Other.,1
56,a,100,"Yes, the law requires the government to publicly disclose data on payments from extractive companies to the government.",1
56,b,50,"Yes, a publicly documented policy requires the government to publicly disclose data on payments from extractive companies to the government.",1
56,c,0,"No, the government is not required to publicly disclose data on payments from extractive companies to the government.",1
56,d,NA,Not applicable/Other.,1
28,a,100,"Yes, the law requires the licensing authority to set minimum pre-defined criteria by which companies become qualified to participate in a licensing process.",1
28,b,50,"Yes, a publicly documented policy requires the licensing authority to set minimum pre-defined criteria by which companies become qualified to participate in a licensing process.",1
28,c,0,"No, rules do not require the licensing authority to set minimum pre-defined criteria by which companies become qualified to participate in award processes for licenses/contracts.",1
28,d,NA,Not applicable/Other.,1
167,a,100,"Yes, the law requires the legislature to review the fund's annual financial reports.",1
167,b,50,"Yes, a publicly documented policy requires the legislature to review the fund's annual financial reports.",1
167,c,0,"No, the legislature is not required to review the fund's annual financial reports.",1
167,d,NA,Not applicable/Other.,1
25,a,100,"Yes, the law requires the licensing authority to be independent from the SOE.",1
25,b,50,"Yes, a publicly documented policy requires the licensing authority to be independent from the SOE.",1
25,c,0,"No, rules do not require the licensing authority to be independent from the SOE.",1
25,d,NA,Not applicable/Other.,1
114,a,100,"Yes, the majority of the SOE's board of directors is independent of the government.",1
114,b,20,"No, the majority of the SOE's board of directors is not independent of the government.",1
114,c,0,The SOE does not publicly disclose a list of board members.,1
114,d,NA,Not applicable/Other.,1
61,a,100,"Yes, at the project-level.",1
61,b,50,"Yes, in the aggregate.",1
61,c,20,"No, the most recent publicly available data on tax/payment receipts is not disaggregated by payment type.",1
61,d,0,The government does not publicly disclose data on the value of tax/payment receipts.,1
61,e,NA,Not applicable/Other.,1
127,a,100,"Yes, the most recent publicly available information on the national debt is disaggregated by currency denomination.",1
127,b,0,"No, the most recent publicly available information on the national debt is not disaggregated by currency denomination.",1
127,c,0,"No, the government does not publicly disclose the level of national debt.",1
127,d,NA,Not applicable/Other.,1
63,a,100,"Yes, the law requires the national tax authority to audit extractive companies.",1
63,b,50,"Yes, a publicly documented policy requires the national tax authority to audit extractive companies.",1
63,c,0,"No, the national tax authority is not required to audit extractive companies.",1
63,d,NA,Not applicable/Other.,1
64,a,100,"Yes, the law requires an external body to periodically audit the national tax authority.",1
64,b,50,"Yes, a publicly documented policy requires an external body to periodically audit the national tax authority.",1
64,c,0,"No, the national tax authority is not required to periodically be audited by an external body.",1
64,d,NA,Not applicable/Other.,1
45,a,100,A government agency maintains a publicly available registry of license details online.,1
45,b,50,"A government agency maintains a publicly available registry of license details in digital format, but offline.",1
45,c,20,A government agency maintains a publicly available registry of license details in paper format only.,1
45,d,0,No registry of licenses/contracts exists.,1
45,e,NA,Not applicable/Other.,1
86,a,100,"Yes, the law requires the SOE to publicly disclose annual reports on its finances and operations.",1
86,b,50,"Yes, a publicly documented policy requires the SOE to publicly disclose annual reports on its finances and operations.",1
86,c,0,"No, the SOE is not required to publicly disclose annual reports on its finances and operations.",1
86,d,NA,Not applicable/Other.,1
116,a,100,"Yes, the law requires the SOE to submit annual reports on all its activities to the legislature.",1
116,b,50,"Yes, a publicly documented policy requires the SOE to submit annual reports on all its activities to the legislature.",1
116,c,0,"No, the SOE is not required to submit annual reports to the legislature on its activities.",1
116,d,NA,Not applicable/Other.,1
155,a,100,"Yes, the law prohibits the fund from investing in certain asset classes or investment types.",1
155,b,50,"Yes, a publicly documented policy prohibits the fund from investing in certain asset classes or investment types.",1
155,c,0,"No, the fund is not prohibited from investing in any asset class or investment type.",1
155,d,NA,Not applicable/Other.,1
154,a,100,"Yes, the law prohibits the fund from investing in domestic assets without budgetary approval.",1
154,b,50,"Yes, a publicly documented policy prohibits the fund from investing in domestic assets without budgetary approval.",1
154,c,0,"No, the sovereign wealth fund is not prohibited from investing in domestic assets without budgetary approval.",1
154,d,NA,Not applicable/Other.,1
157,a,100,"Yes, the law requires the fund to produce annual financial reports.",1
157,b,50,"Yes, a publicly documented policy requires the fund to produce annual financial reports.",1
157,c,0,"No, the fund is not required to produce annual financial reports.",1
157,d,NA,Not applicable/Other.,1
158,a,100,"Yes, the law requires the fund to publicly disclose annual financial reports.",1
158,b,50,"Yes, a publicly documented policy requires the fund to publicly disclose annual financial reports.",1
158,c,0,"No, the fund is not required to publicly disclose annual financial reports.",1
158,d,NA,Not applicable/Other.,1
70,a,100,"Yes, the law requires environmental mitigation management plans to be publicly disclosed.",1
70,b,50,"Yes, a publicly documented policy requires environmental mitigation management plans to be publicly disclosed.",1
70,c,0,"No, there is no requirement for environmental mitigation management plans to be publicly disclosed.",1
70,d,NA,Not applicable/Other.,1
67,a,100,Both EIAs and SIAs are required to be publicly disclosed under law.,1
67,b,90,"Either EIAs or SIAs are required to be publicly disclosed under law, with the other being required under a policy.",1
67,c,50,"Either EIAs or SIAs are required to be publicly disclosed under law, with the other not required at all.",1
67,d,50,Both EIAs and SIAs are required to be publicly disclosed under a publicly documented policy.,1
67,e,20,"Either EIAs or SIAs are required to be publicly disclosed under a publicly documented policy, with the other not required at all (i.e. neither under law nor under policy).",1
67,f,0,Neither EIAs nor SIAs are required to be publicly disclosed.,1
67,g,NA,Not applicable/Other.,1
118,a,100,"Yes, the government adhered to the fiscal rule in the most recently completed fiscal year.",1
118,b,0,"No, the government suspended, modified or disregarded the fiscal rule in the most recently completed fiscal year.",1
118,c,0,No numerical fiscal rule has been set.,1
118,d,NA,Not applicable/Other.,1
34,a,100,"Yes, the law requires the licensing authority to publicly disclose the rules governing the licensing process, such as auction or negotiation rules.",1
34,b,50,"Yes, a publicly documented policy requires the licensing authority to publicly disclose the rules governing the licensing process, such as auction or negotiation rules.",1
34,c,0,"No, the licensing authority is not required to publicly disclose the rules governing the licensing process, such as auction or negotiation rules.",1
34,d,NA,Not applicable/Other.,1
32,a,100,"Yes, the law requires the licensing authority to publicly disclose a list of biddable or negotiable terms.",1
32,b,50,"Yes, a publicly documented policy requires the licensing authority to publicly disclose a list of biddable or negotiable terms.",1
32,c,0,"No, the licensing authority is not required to publicly disclose a list of biddable or negotiable terms.",1
32,d,NA,Not applicable/Other.,1
120,a,100,"Yes, the government's adherence to the fiscal rule was monitored over the most recently completed audit timeframe, with no known exceptions.",1
120,b,0,"No, the government's adherence to the fiscal rule was not monitored over the recently completed audit timeframe.",1
120,c,0,There is no requirement for the government's adherence to the fiscal rule to be subject to a periodic external monitoring.,1
120,d,NA,Not applicable/Other.,1
65,a,100,"Yes, an external audit took place over the most recently completed audit timeframe and the results were publicly disclosed.",1
65,b,50,"Yes, an external audit took place over the most recently completed audit timeframe, but the results were not publicly disclosed.",1
65,c,0,"No, no external audit took place over the most recently completed audit timeframe.",1
65,d,0,The national tax authority is not subject to audits.,1
65,e,NA,Not applicable/Other.,1
166,a,100,"Yes, these annual financial reports were audited over the most recently completed audit timeframe, with no known exceptions.",1
166,b,0,"No, these annual financial reports were not audited over the most recently completed audit timeframe.",1
166,c,0,"No, there is no requirement for a periodic external audit of the annual financial reports.",1
166,d,NA,Not applicable/Other.,1
143,a,100,"Yes, transfers of extractive resource revenues to subnational governments were audited over the most recently completed audit timeframe, with no known exceptions.",0.777
143,b,0,"No, transfers of extractive resource revenues to subnational governments were not audited over the most recently completed audit timeframe.",0.777
143,c,0,There is no requirement for transfers of extractive resource revenues to subnational governments to be subject to a periodic external audit.,0.777
143,d,NA,Not applicable/Other.,0.777
